Dataset: Gulf of Mexico ,,,,,,
Species Name: Bank sea bass (Centropristis ocyurus),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
004-290-00001,14-60,28.30108333,-90.07725,94.4,2010,0
004-290-00004,14-60,28.19316667,-90.6425,82.7,2010,0
004-290-00005,14-60,28.158,-90.60716667,95.1,2010,0
004-290-00006,14-60,28.14016667,-90.887,96.6,2010,0
004-290-00008,14-20,28.483,-90.97733333,35.1,2010,0
004-290-00010,14-60,28.33016667,-90.47108333,53.8,2010,0
004-290-00011,14-60,28.30525,-90.40358333,60.2,2010,0
004-290-00012,14-60,28.266,-90.12225,96.6,2010,0
004-290-00013,14-60,28.34975,-90.05425,86.9,2010,0
004-290-00015,14-60,28.43466667,-90.1665,60.2,2010,0
004-290-00016,14-60,28.39291667,-90.15825,64.7,2010,0
004-290-00017,14-60,28.44816667,-90.26716667,51.9,2010,0
004-290-00018,14-60,28.42366667,-90.23441667,55.8,2010,0
004-290-00019,14-60,28.46691667,-90.31533333,48.3,2010,0
004-290-00020,14-60,28.52591667,-90.44541667,38,2010,0
004-290-00022,14-60,28.46866667,-90.55375,38.4,2010,0
004-290-00025,14-20,28.71941667,-90.72666667,18.1,2010,0
004-290-00026,14-20,28.89175,-90.53275,16.5,2010,0
004-290-00027,14-20,28.86283333,-90.61208333,16.6,2010,0
004-290-00028,14-20,28.83741667,-90.75,17.6,2010,0
004-290-00029,14-20,28.765,-90.86691667,17.9,2010,0
004-290-00030,18-20,29.17633333,-94.75725,14.8,2010,0
004-290-00049,19-20,28.27175,-96.325,20.5,2010,0
004-290-00031,18-20,29.14258333,-94.75066667,17,2010,0
004-290-00050,20-60,27.924,-96.29508333,42.2,2010,0
004-290-00051,20-20,27.9395,-96.38675,35.7,2010,0
004-290-00032,18-20,29.13383333,-94.86733333,14.3,2010,0
004-290-00053,20-60,27.86091667,-96.46175,38.4,2010,0
004-290-00033,18-20,29.07408333,-94.78041667,18.3,2010,0
004-290-00054,20-60,27.64925,-96.50775,56.1,2010,0
004-290-00034,18-20,29.0165,-94.71758333,19,2010,0
004-290-00055,0-60,27.45616667,-96.461,83.2,2010,0
004-290-00036,19-20,28.95125,-95.00991667,18.7,2010,0
004-290-00056,20-20,27.65775,-96.91425,25.6,2010,0
004-290-00037,18-20,28.811,-94.89366667,20.3,2010,0
004-290-00057,20-20,27.67641667,-97.01641667,20.5,2010,0
004-290-00038,18-20,28.7725,-94.87833333,22.5,2010,0
004-290-00058,20-20,27.59575,-96.977,25.2,2010,0
004-290-00039,19-20,28.65666667,-95.173,25.1,2010,0
004-290-00060,20-20,27.31033333,-97.127,26.2,2010,0
004-290-00040,19-20,28.6235,-95.15116667,27.2,2010,0
004-290-00061,20-60,27.20991667,-97.00466667,36.6,2010,0
004-290-00041,19-20,28.43858333,-95.52491667,29.1,2010,0
004-290-00062,20-20,27.05016667,-97.13266667,31.1,2010,0
004-290-00042,19-20,28.54591667,-95.60033333,20.1,2010,0
004-290-00063,20-20,27.01808333,-97.065,35.3,2010,0
004-290-00043,19-20,28.45758333,-95.74483333,23,2010,0
004-290-00065,21-20,26.60591667,-97.05441667,33.3,2010,0
004-290-00044,19-20,28.41233333,-95.85683333,22.3,2010,0
004-290-00096,0-60,27.3635,-96.44591667,95.8,2010,0
004-290-00066,21-20,26.447,-97.162,18.1,2010,0
004-290-00045,19-20,28.38375,-95.83925,25.1,2010,0
004-290-00097,20-60,27.786,-95.9385,62.4,2010,0
004-290-00068,21-20,26.46591667,-97.017,32,2010,0
004-290-00046,19-20,28.45308333,-95.98208333,17.6,2010,0
004-290-00098,20-60,27.76183333,-95.60958333,94,2010,0
004-290-00069,21-20,26.31541667,-96.939,35.1,2010,0
004-290-00047,19-20,28.34816667,-96.02,21.8,2010,0
004-290-00099,20-60,27.81333333,-95.626,72.2,2010,0
004-290-00070,21-60,26.29366667,-96.90716667,37.7,2010,0
004-290-00048,19-20,28.09916667,-96.10375,32.9,2010,0
004-290-00100,20-60,27.97725,-95.74616667,51.9,2010,0
004-290-00071,21-60,26.11775,-96.86191667,37.9,2010,0
004-290-00102,20-60,27.91733333,-95.54075,61.4,2010,0
004-290-00072,21-20,26.01341667,-97.01383333,26,2010,0
004-290-00104,0-60,27.94075,-95.38758333,67.5,2010,0
004-290-00073,21-20,26.02808333,-96.92883333,32,2010,0
004-290-00105,0-60,27.94466667,-95.41233333,66.2,2010,0
004-290-00074,0-60,26.03066667,-96.45258333,66.8,2010,0
004-290-00107,19-60,28.1205,-95.59558333,44.4,2010,0
004-290-00108,19-20,28.23033333,-95.65216667,35.7,2010,0
004-290-00075,0-60,26.12316667,-96.46433333,62.9,2010,0
004-290-00109,19-60,28.20058333,-95.40125,44.6,2010,0
004-290-00076,0-60,26.17533333,-96.36858333,95.1,2010,0
004-290-00110,19-60,28.22516667,-95.37625,41,2010,0
004-290-00142,18-20,28.77425,-94.60508333,21.4,2010,0
004-290-00077,0-60,26.22225,-96.37141667,90.9,2010,0
004-290-00111,19-60,28.23766667,-95.33833333,41.9,2010,0
004-290-00143,18-20,28.77691667,-94.51858333,24.3,2010,0
004-290-00112,19-60,28.30425,-95.31666667,37.9,2010,0
004-290-00078,21-60,26.25458333,-96.57533333,53.2,2010,0
004-290-00144,18-20,28.77616667,-94.33266667,28.2,2010,0
004-290-00113,19-20,28.33966667,-95.37283333,34.6,2010,0
004-290-00145,18-20,29.0055,-94.31166667,18.7,2010,0
004-290-00079,21-60,26.32041667,-96.6775,47,2010,0
004-290-00114,19-20,28.33441667,-95.32208333,35.3,2010,0
004-290-00146,18-20,28.97641667,-94.33375,16.1,2010,0
004-290-00081,21-60,26.59366667,-96.67175,64.9,2010,0
004-290-00115,19-20,28.43233333,-95.31975,32.7,2010,0
004-290-00148,18-20,29.08466667,-94.34075,16.8,2010,0
004-290-00117,18-20,28.494,-94.9795,34,2010,0
004-290-00082,21-60,26.60883333,-96.62741667,73,2010,0
004-290-00149,18-20,29.36925,-94.4315,13.9,2010,0
004-290-00118,18-60,28.29441667,-94.96625,43,2010,0
004-290-00150,18-20,29.34841667,-94.29208333,15.5,2010,0
004-290-00083,21-60,26.64016667,-96.57266667,89.6,2010,0
004-290-00119,18-60,28.25658333,-94.96116667,46.8,2010,0
004-290-00151,18-20,29.38808333,-94.14066667,14.3,2010,0
004-290-00084,21-60,26.68058333,-96.6055,89.6,2010,0
004-290-00120,19-60,28.30691667,-95.15166667,38.2,2010,0
004-290-00152,18-20,29.53616667,-94.17683333,11.7,2010,0
004-290-00085,21-60,26.86375,-96.82075,60.7,2010,0
